timestamp,c_sht,h_sht,c_bme,p_bme,h_bme,c_lm,lux_diode
1713512761,21.57664,48.39246,20.01,1000.80,40.73,22.88624,75.89838
1713512771,21.57664,48.35737,20.01,1000.78,40.77,22.72511,76.04486
1713512781,21.57664,48.39246,20.01,1000.75,40.71,22.96681,76.04486
1713512791,21.56329,48.37873,20.01,1000.75,40.63,22.96681,76.26459
1713512801,21.57664,48.47486,20.01,1000.84,40.64,22.96681,76.26459
1713512811,21.57664,48.54811,20.0,1000.69,40.61,22.80568,72.0882
1713512821,21.58999,48.59541,19.99,1000.78,40.83,22.88624,71.79523
1713512831,21.57664,48.52216,19.99,1000.77,40.86,22.88624,71.69757
1713512841,21.56329,48.65034,19.99,1000.72,40.78,22.80568,71.81964
1713512851,21.57664,48.74647,20.0,1000.81,40.89,22.88624,73.50423
1713512861,21.56329,48.65034,20.0,1000.74,40.84,22.80568,72.6009
1713512871,21.56329,48.55726,20.0,1000.79,40.84,22.72511,72.01495
1713512881,21.57664,48.55726,19.99,1000.72,40.90,22.80568,72.13703
1713512891,21.58999,48.52522,19.99,1000.72,40.98,22.80568,72.40559
1713512901,21.56329,48.44892,19.98,1000.75,40.91,22.80568,72.47883
1713512911,21.58999,48.47639,19.97,1000.70,40.84,22.72511,72.74738
1713512921,21.57664,48.42908,19.96,1000.66,40.89,22.80568,72.55207
1713512931,21.54726,48.4474,19.95,1000.71,41.01,22.64454,72.55207
1713512941,21.57664,48.40314,19.95,1000.75,41.00,22.72511,72.79621
1713512951,21.56329,48.42603,19.95,1000.81,40.89,22.72511,73.18684
1713512961,21.57664,48.41688,19.94,1000.77,40.90,22.88624,73.16243
1713512971,21.56329,48.40162,19.94,1000.72,40.77,22.72511,73.26009
1713512981,21.54726,48.365,19.94,1000.75,40.90,22.72511,73.38216
1713512991,21.56329,48.35584,19.94,1000.76,40.90,22.72511,73.50423
1713513001,21.56329,48.38941,19.94,1000.79,40.94,22.80568,73.60189
1713513011,21.56329,48.31922,19.93,1000.81,40.78,22.64454,73.72397
1713513021,21.54726,48.30701,19.94,1000.76,40.70,22.72511,73.84604
1713513031,21.56329,48.2475,19.94,1000.68,40.84,22.72511,73.99252
1713513041,21.54726,48.365,19.94,1000.76,40.82,22.72511,74.23666
1713513051,21.56329,48.43824,19.93,1000.75,40.92,22.64454,74.50523
1713513061,21.54726,48.37568,19.93,1000.73,40.81,22.64454,74.55405
1713513071,21.53391,48.32837,19.95,1000.78,40.81,22.72511,74.6273
