timestamp,c_dht,h_dht,c_bme,p_bme,h_bme
1713369107,22.21218,50.59587,20.14,996.47,43.60
1713369117,22.18548,50.60502,20.14,996.49,43.60
1713369127,22.19883,50.64012,20.15,996.47,43.62
1713369137,22.21218,50.63249,20.14,996.47,43.61
1713369147,22.18548,50.64012,20.14,996.44,43.65
1713369157,22.19883,50.70115,20.14,996.42,43.63
1713369167,22.19883,50.63096,20.14,996.48,43.63
1713369177,22.19883,50.67674,20.13,996.41,43.66
1713369187,22.18548,50.64012,20.13,996.47,43.65
1713369197,22.21218,50.65538,20.13,996.47,43.67
1713369207,22.18548,50.68589,20.13,996.52,43.67
1713369217,22.19883,50.67674,20.13,996.47,43.66
1713369227,22.18548,50.68589,20.12,996.47,43.70
1713369237,22.19883,50.70115,20.12,996.43,43.71
1713369247,22.18548,50.69963,20.12,996.51,43.71
1713369257,22.19883,50.70115,20.12,996.45,43.71
1713369267,22.19883,50.66453,20.11,996.46,43.70
1713369277,22.18548,50.71031,20.12,996.50,43.70
1713369287,22.18548,50.76982,20.1,996.42,43.72
1713369297,22.16946,50.69658,20.12,996.53,43.69
1713369307,22.18548,50.69963,20.11,996.54,43.72
1713369317,22.18548,50.68589,20.1,996.50,43.75
1713369327,22.19883,50.73625,20.1,996.53,43.74
1713369337,22.18548,50.7454,20.09,996.49,43.75
1713369347,22.1561,50.71794,20.09,996.45,43.74
1713369357,22.1561,50.75456,20.09,996.45,43.75
1713369367,22.1561,50.75456,20.08,996.53,43.77
1713369377,22.1561,50.76524,20.08,996.47,43.81
1713369387,22.1561,50.76524,20.08,996.49,43.81
1713369397,22.14275,50.75151,20.07,996.51,43.77
1713369407,22.1561,50.76524,20.07,996.48,43.81
1713369417,22.16946,50.79271,20.07,996.49,43.83
1713369427,22.1561,50.80186,20.07,996.55,43.83
1713369437,22.16946,50.85069,20.07,996.55,43.84
1713369447,22.16946,50.80186,20.07,996.53,43.84
1713369457,22.1561,50.79118,20.06,996.49,43.85
1713369467,22.12939,50.7866,20.07,996.52,43.83
1713369477,22.14275,50.80033,20.06,996.51,43.87
1713369487,22.1561,50.82475,20.06,996.49,43.87
1713369497,22.1561,50.79118,20.06,996.49,43.89
1713369507,22.14275,50.81102,20.06,996.51,43.90
1713369517,22.14275,50.88273,20.05,996.44,43.95
1713369527,22.14275,50.87053,20.05,996.44,43.97
1713369537,22.12939,50.87053,20.05,996.55,43.90
1713369547,22.14275,50.93003,20.05,996.55,43.93
1713369557,22.1561,50.93309,20.05,996.52,43.95
1713369567,22.14275,50.91935,20.05,996.49,43.95
1713369577,22.12939,50.9163,20.05,996.49,43.95
1713369587,22.14275,50.96666,20.04,996.53,44.00
1713369597,22.10002,50.93766,20.04,996.59,44.00
1713369607,22.11337,50.92546,20.05,996.55,43.98
1713369617,22.14275,50.95292,20.04,996.47,43.98
1713369627,22.14275,50.95292,20.04,996.48,43.99
1713369637,22.11337,50.92546,20.04,996.53,43.98
1713369647,22.12939,50.93919,20.04,996.50,43.99
1713369657,22.12939,50.92851,20.03,996.52,43.97
1713369667,22.11337,50.90257,20.03,996.49,43.95
1713369677,22.12939,50.97581,20.03,996.55,43.99
1713369687,22.12939,50.96513,20.03,996.57,43.99
1713369697,22.10002,50.96055,20.02,996.59,44.00
1713369707,22.12939,50.98803,20.03,996.51,44.00
1713369717,22.12939,50.9514,20.02,996.50,44.03
1713369727,22.11337,51.00786,20.01,996.46,44.01
1713369737,22.10002,50.93766,20.02,996.50,44.02
1713369747,22.10002,50.94682,20.02,996.55,44.02
1713369757,22.08667,50.97123,20.01,996.53,44.03
1713369767,22.10002,50.99718,20.01,996.53,44.03
1713369777,22.08667,50.99413,20.0,996.47,44.05
1713369787,22.08667,51.00634,20.01,996.56,44.04
1713369797,22.10002,50.99718,20.0,996.47,44.05
1713369807,22.07332,50.9926,19.99,996.59,44.05
1713369817,22.08667,50.97123,20.0,996.57,44.05
1713369827,22.10002,51.02007,20.0,996.52,44.06
1713369837,22.08667,50.99413,19.99,996.59,44.06
1713369847,22.08667,51.03991,19.99,996.54,44.08
1713369857,22.10002,51.03075,19.99,996.53,44.10
1713369867,22.07332,51.01549,19.99,996.61,44.09
1713369877,22.10002,51.06737,19.99,996.56,44.12
1713369887,22.0573,51.04906,19.98,996.51,44.13
1713369897,22.10002,51.04296,19.99,996.55,44.14
1713369907,22.08667,51.08873,19.98,996.60,44.12
1713369917,22.10002,51.04296,19.97,996.55,44.11
1713369927,22.07332,51.03991,19.97,996.60,44.11
1713369937,22.0573,51.04906,19.97,996.55,44.15
1713369947,22.08667,51.08873,19.97,996.63,44.12
1713369957,22.07332,51.05211,19.97,996.50,44.17
1713369967,22.07332,51.03991,19.97,996.57,44.16
1713369977,22.07332,51.03991,19.97,996.55,44.16
1713369987,22.0573,51.08416,19.96,996.50,44.19
1713369997,22.08667,51.08873,19.95,996.57,44.20
1713370007,22.0573,51.09789,19.96,996.56,44.19
1713370017,22.04395,51.09484,19.94,996.53,44.22
1713370027,22.07332,51.10857,19.96,996.58,44.20
1713370037,22.0573,51.10704,19.94,996.56,44.21
1713370047,22.04395,51.10399,19.95,996.60,44.18
1713370057,22.0573,51.08416,19.95,996.54,44.22
1713370067,22.0573,51.10704,19.94,996.53,44.20
1713370077,22.0573,51.09789,19.95,996.49,44.18
1713370087,22.0573,51.07195,19.95,996.54,44.19
1713370097,22.0573,51.13146,19.94,996.61,44.24
1713370107,22.07332,51.10857,19.95,996.59,44.25
1713370117,22.0573,51.13146,19.94,996.61,44.25
1713370127,22.0573,51.1574,19.93,996.60,44.24
1713370137,22.0573,51.18029,19.93,996.57,44.25
1713370147,22.04395,51.20012,19.93,996.57,44.29
1713370157,22.03059,51.20012,19.93,996.65,44.29
1713370167,22.04395,51.20012,19.93,996.57,44.28
1713370177,22.04395,51.21233,19.93,996.63,44.28
1713370187,22.07332,51.21691,19.92,996.56,44.27
1713370197,22.03059,51.23522,19.92,996.66,44.30
1713370207,22.01457,51.1986,19.92,996.66,44.29
1713370217,22.04395,51.20012,19.92,996.66,44.30
1713370227,22.03059,51.20928,19.92,996.73,44.30
1713370237,22.01457,51.20775,19.92,996.63,44.32
1713370247,22.01457,51.1986,19.92,996.70,44.33
1713370257,22.04395,51.23674,19.91,996.72,44.33
1713370267,22.01457,51.24437,19.9,996.73,44.37
1713370277,22.00122,51.29015,19.92,996.70,44.37
1713370287,22.03059,51.29473,19.91,996.71,44.38
1713370297,22.01457,51.24437,19.9,996.73,44.38
1713370307,22.00122,51.29015,19.91,996.79,44.40
1713370317,22.00122,51.27794,19.9,996.75,44.38
