c_sht,h_sht,c_bme,p_bme,h_bme,c_lm,lux_diode
1714015920,18.0251,52.37506,16.28C,993.46hPa,45.55%,19.09453,17.19081
1714015930,18.01175,52.36286,16.28C,993.49hPa,45.48%,19.09453,17.19081
1714015940,18.01175,52.37201,16.27C,993.48hPa,45.43%,19.1751,17.21523
1714015950,18.0251,52.37506,16.27C,993.45hPa,45.49%,19.1751,17.19081
1714015960,18.01175,52.35218,16.28C,993.38hPa,45.56%,19.01396,17.19081
1714015970,18.0251,52.34302,16.28C,993.52hPa,45.53%,19.09453,17.19081
1714015980,17.9984,52.37049,16.28C,993.47hPa,45.43%,19.09453,17.19081
1714015990,18.01175,52.37201,16.28C,993.49hPa,45.53%,19.1751,17.19081
1714016000,18.01175,52.36286,16.27C,993.50hPa,45.56%,19.01396,17.19081
1714016010,17.9984,52.37049,16.27C,993.45hPa,45.43%,19.09453,17.19081
1714016020,18.0251,52.3949,16.27C,993.45hPa,45.39%,19.01396,17.21523
1714016030,18.0251,52.3949,16.27C,993.50hPa,45.50%,19.1751,17.19081
1714016040,18.01175,52.40406,16.27C,993.50hPa,45.55%,19.01396,17.19081
1714016050,18.0251,52.41626,16.28C,993.44hPa,45.49%,19.09453,17.21523
1714016060,17.9984,52.38117,16.27C,993.42hPa,45.45%,19.01396,17.19081
1714016070,17.9984,52.4361,16.28C,993.49hPa,45.50%,19.09453,17.19081
1714016080,17.98505,52.40253,16.28C,993.46hPa,45.60%,19.09453,17.19081
1714016090,17.98505,52.39032,16.28C,993.51hPa,45.61%,19.09453,17.19081
1714016100,18.01175,52.41626,16.27C,993.47hPa,45.64%,19.09453,17.19081
1714016110,18.0251,52.3949,16.28C,993.46hPa,45.59%,19.01396,17.19081
1714016120,18.01175,52.43915,16.28C,993.43hPa,45.45%,19.09453,17.19081
1714016130,18.01175,52.40406,16.28C,993.51hPa,45.55%,19.09453,17.19081
1714016140,17.9984,52.37049,16.27C,993.45hPa,45.58%,19.01396,17.19081
1714016150,17.9984,52.40406,16.28C,993.54hPa,45.56%,19.09453,17.21523
1714016160,18.0251,52.43,16.27C,993.56hPa,45.57%,19.1751,17.21523
1714016170,17.9984,52.39338,16.27C,993.47hPa,45.59%,19.09453,17.21523
1714016180,18.01175,52.38422,16.28C,993.51hPa,45.57%,19.1751,17.19081
1714016190,17.9984,52.41321,16.27C,993.42hPa,45.52%,19.09453,17.19081
1714016200,17.9984,52.38117,16.27C,993.45hPa,45.49%,19.09453,17.19081
1714016210,18.0251,52.41626,16.27C,993.48hPa,45.56%,19.1751,17.21523
1714016220,17.9984,52.40406,16.28C,993.51hPa,45.55%,19.1751,17.21523
1714016230,18.01175,52.44831,16.28C,993.49hPa,45.55%,19.09453,17.21523
1714016240,18.01175,52.43915,16.28C,993.54hPa,45.59%,19.09453,17.21523
1714016250,18.01175,52.38422,16.28C,993.41hPa,45.54%,19.09453,17.19081
1714016260,18.01175,52.38422,16.28C,993.46hPa,45.55%,19.1751,17.19081
1714016270,18.0251,52.3949,16.28C,993.46hPa,45.53%,19.01396,17.19081
1714016280,18.0251,52.38575,16.27C,993.50hPa,45.49%,19.09453,17.21523
1714016290,18.01175,52.37201,16.28C,993.43hPa,45.46%,19.09453,17.19081
1714016300,18.01175,52.37201,16.28C,993.49hPa,45.54%,19.1751,17.19081
1714016310,17.9984,52.33997,16.27C,993.48hPa,45.52%,19.01396,17.21523
1714016320,18.0251,52.35218,16.29C,993.47hPa,45.47%,19.1751,17.21523
1714016330,18.01175,52.38422,16.27C,993.42hPa,45.49%,19.09453,17.21523
1714016340,18.01175,52.36286,16.27C,993.45hPa,45.51%,19.09453,17.19081
1714016350,18.01175,52.35218,16.27C,993.42hPa,45.50%,19.09453,17.21523
1714016360,18.01175,52.37201,16.28C,993.46hPa,45.55%,19.09453,17.21523
1714016370,17.9984,52.37049,16.28C,993.46hPa,45.55%,19.01396,17.23964
1714016380,17.9984,52.33997,16.28C,993.41hPa,45.56%,19.01396,17.21523
1714016390,17.9984,52.33997,16.28C,993.47hPa,45.55%,19.01396,17.21523
1714016400,17.9984,52.34912,16.27C,993.44hPa,45.51%,19.1751,17.21523
1714016410,18.01175,52.37201,16.28C,993.41hPa,45.50%,19.09453,17.21523
1714016420,17.9984,52.31556,16.28C,993.44hPa,45.49%,19.01396,17.21523
1714016430,17.9984,52.34912,16.27C,993.42hPa,45.49%,19.09453,17.21523
1714016440,18.01175,52.33997,16.28C,993.49hPa,45.54%,19.1751,17.19081
1714016450,18.01175,52.32929,16.27C,993.45hPa,45.49%,19.1751,17.21523
1714016460,17.9984,52.36133,16.27C,993.44hPa,45.52%,19.1751,17.19081
1714016470,17.9984,52.33997,16.27C,993.48hPa,45.56%,19.1751,17.21523
1714016480,18.01175,52.31708,16.28C,993.43hPa,45.55%,19.09453,17.21523
1714016490,18.01175,52.36286,16.28C,993.43hPa,45.50%,19.09453,17.19081
1714016500,17.9984,52.36133,16.27C,993.40hPa,45.48%,19.01396,17.19081
1714016510,17.9984,52.36133,16.27C,993.50hPa,45.45%,19.09453,17.21523
1714016520,17.9984,52.37049,16.27C,993.45hPa,45.43%,19.1751,17.21523
1714016530,18.01175,52.33997,16.28C,993.41hPa,45.45%,19.01396,17.21523
1714016540,17.9984,52.31556,16.28C,993.41hPa,45.46%,19.09453,17.21523
1714016550,17.9984,52.33997,16.27C,993.42hPa,45.54%,19.1751,17.19081
1714016560,18.01175,52.31708,16.27C,993.44hPa,45.54%,19.1751,17.21523
1714016570,18.0251,52.34302,16.27C,993.48hPa,45.51%,19.01396,17.21523
1714016580,17.9984,52.34912,16.27C,993.44hPa,45.47%,19.01396,17.21523
1714016590,17.98505,52.35828,16.28C,993.49hPa,45.51%,19.09453,17.21523
1714016600,17.9984,52.36133,16.26C,993.43hPa,45.46%,19.09453,17.21523
1714016610,18.01175,52.37201,16.27C,993.48hPa,45.46%,19.09453,17.19081
1714016620,17.9984,52.36133,16.28C,993.46hPa,45.45%,19.09453,17.21523
1714016630,18.0251,52.34302,16.27C,993.39hPa,45.46%,19.1751,17.21523
1714016640,18.0251,52.33081,16.28C,993.49hPa,45.48%,19.09453,17.21523
1714016650,18.01175,52.35218,16.27C,993.48hPa,45.55%,19.09453,17.21523
1714016660,17.9984,52.33997,16.26C,993.49hPa,45.60%,19.09453,17.21523
1714016670,17.9984,52.39338,16.26C,993.44hPa,45.59%,19.1751,17.21523
1714016680,17.9984,52.34912,16.27C,993.45hPa,45.59%,19.09453,17.19081
1714016690,18.01175,52.33997,16.26C,993.43hPa,45.60%,19.01396,17.21523
1714016700,17.9984,52.32929,16.27C,993.47hPa,45.55%,19.09453,17.19081
1714016710,18.01175,52.32929,16.26C,993.45hPa,45.58%,19.01396,17.21523
1714016720,18.01175,52.33997,16.26C,993.46hPa,45.48%,19.09453,17.21523
1714016730,17.9984,52.31556,16.26C,993.51hPa,45.55%,19.09453,17.21523
1714016740,17.98505,52.3476,16.26C,993.43hPa,45.59%,19.1751,17.21523
1714016750,17.9984,52.38117,16.26C,993.48hPa,45.59%,19.1751,17.19081
1714016760,17.9984,52.33997,16.26C,993.52hPa,45.56%,19.1751,17.21523
1714016770,17.98505,52.33844,16.26C,993.43hPa,45.56%,19.09453,17.19081
1714016780,17.9984,52.40406,16.27C,993.44hPa,45.55%,19.01396,17.21523
1714016790,17.9984,52.37049,16.27C,993.48hPa,45.48%,19.09453,17.21523
1714016800,18.01175,52.35218,16.26C,993.51hPa,45.50%,19.01396,17.21523
1714016810,17.9984,52.34912,16.27C,993.47hPa,45.52%,19.09453,17.19081
1714016820,17.9984,52.38117,16.26C,993.51hPa,45.50%,19.09453,17.21523
1714016830,17.9984,52.38117,16.26C,993.49hPa,45.52%,19.09453,17.21523
1714016840,17.9984,52.36133,16.26C,993.46hPa,45.33%,19.01396,17.19081
1714016850,17.98505,52.37049,16.26C,993.45hPa,45.49%,19.01396,17.21523
1714016860,17.98505,52.3476,16.26C,993.45hPa,45.49%,19.1751,17.21523
1714016870,17.9984,52.36133,16.25C,993.47hPa,45.58%,19.1751,17.19081
1714016880,17.9984,52.39338,16.25C,993.47hPa,45.60%,19.09453,17.19081
1714016890,17.9984,52.36133,16.26C,993.48hPa,45.52%,19.1751,17.19081
1714016900,17.98505,52.37049,16.25C,993.41hPa,45.57%,19.01396,17.21523
1714016910,17.9984,52.37049,16.25C,993.39hPa,45.54%,19.1751,17.21523
1714016920,17.98505,52.38117,16.26C,993.45hPa,45.49%,18.9334,17.21523
1714016930,17.9984,52.40406,16.25C,993.44hPa,45.51%,19.09453,17.21523
1714016940,17.96902,52.36744,16.25C,993.41hPa,45.46%,19.09453,17.19081
1714016950,18.01175,52.33997,16.25C,993.52hPa,45.51%,19.01396,17.21523
1714016960,17.9984,52.34912,16.25C,993.47hPa,45.52%,19.01396,17.21523
1714016970,17.98505,52.32624,16.25C,993.45hPa,45.54%,19.09453,17.21523
1714016980,17.9984,52.31556,16.25C,993.47hPa,45.56%,19.09453,17.21523
1714016990,17.9984,52.33997,16.25C,993.47hPa,45.45%,19.09453,17.21523
1714017000,18.01175,52.35218,16.25C,993.45hPa,45.49%,19.01396,17.21523
1714017010,17.98505,52.31556,16.25C,993.47hPa,45.49%,19.1751,17.21523
1714017020,17.98505,52.32624,16.25C,993.39hPa,45.48%,19.1751,17.21523
1714017030,18.0251,52.33081,16.25C,993.44hPa,45.44%,19.09453,17.21523
1714017040,17.9984,52.32929,16.26C,993.45hPa,45.43%,19.09453,17.23964
1714017050,17.9984,52.29419,16.25C,993.41hPa,45.45%,19.09453,17.21523
1714017060,18.01175,52.29725,16.24C,993.46hPa,45.43%,19.01396,17.21523
1714017070,17.9984,52.27436,16.24C,993.46hPa,45.47%,19.09453,17.21523
1714017080,18.01175,52.27436,16.24C,993.43hPa,45.51%,19.09453,17.23964
1714017090,17.98505,52.27131,16.24C,993.46hPa,45.41%,19.09453,17.23964
1714017100,17.9984,52.27436,16.24C,993.45hPa,45.48%,19.09453,17.23964
1714017110,17.98505,52.30335,16.24C,993.42hPa,45.52%,19.01396,17.23964
1714017120,17.9984,52.27436,16.23C,993.47hPa,45.52%,19.01396,17.23964
1714017130,17.98505,52.28351,16.24C,993.43hPa,45.53%,19.09453,17.23964
1714017140,17.9984,52.27436,16.24C,993.46hPa,45.47%,19.01396,17.23964
1714017150,17.9984,52.27436,16.24C,993.48hPa,45.40%,19.01396,17.21523
1714017160,17.96902,52.24842,16.24C,993.48hPa,45.45%,19.09453,17.23964
1714017170,17.98505,52.23774,16.24C,993.45hPa,45.45%,19.1751,17.23964
1714017180,17.9984,52.25147,16.23C,993.41hPa,45.43%,19.09453,17.23964
1714017190,17.98505,52.25147,16.24C,993.40hPa,45.45%,19.09453,17.21523
1714017200,17.9984,52.27436,16.23C,993.41hPa,45.51%,19.09453,17.23964
1714017210,17.98505,52.26215,16.24C,993.45hPa,45.49%,19.09453,17.23964
1714017220,17.98505,52.20722,16.23C,993.36hPa,45.44%,19.01396,17.26406
1714017230,17.98505,52.23774,16.24C,993.48hPa,45.43%,19.01396,17.23964
1714017240,17.96902,52.24842,16.24C,993.37hPa,45.50%,19.09453,17.26406
1714017250,17.98505,52.25147,16.23C,993.36hPa,45.43%,19.09453,17.23964
1714017260,17.98505,52.30335,16.24C,993.40hPa,45.43%,19.01396,17.23964
1714017270,17.98505,52.22858,16.24C,993.48hPa,45.48%,19.01396,17.26406
1714017280,17.98505,52.26215,16.23C,993.39hPa,45.48%,19.09453,17.23964
1714017290,17.96902,52.26062,16.24C,993.48hPa,45.45%,19.09453,17.26406
1714017300,17.96902,52.26062,16.24C,993.42hPa,45.45%,19.09453,17.26406
1714017310,17.9984,52.23926,16.24C,993.42hPa,45.40%,19.01396,17.23964
1714017320,17.98505,52.27131,16.23C,993.41hPa,45.43%,19.09453,17.26406
1714017330,17.9984,52.23011,16.24C,993.37hPa,45.43%,19.01396,17.26406
1714017340,17.9984,52.3064,16.25C,993.52hPa,45.48%,19.1751,17.28847
1714017350,17.9984,52.29419,16.25C,993.41hPa,45.47%,19.01396,17.23964
1714017360,17.9984,52.25147,16.24C,993.40hPa,45.48%,19.01396,17.26406
1714017370,17.98505,52.25147,16.23C,993.44hPa,45.48%,19.09453,17.26406
1714017380,17.98505,52.25147,16.24C,993.40hPa,45.48%,19.09453,17.28847
1714017390,17.98505,52.26215,16.23C,993.38hPa,45.45%,19.01396,17.26406
1714017400,17.98505,52.29267,16.25C,993.41hPa,45.49%,19.09453,17.28847
1714017410,17.9984,52.28504,16.24C,993.40hPa,45.48%,19.01396,17.26406
1714017420,17.98505,52.26215,16.25C,993.47hPa,45.42%,19.09453,17.28847
1714017430,17.98505,52.26215,16.24C,993.40hPa,45.42%,19.01396,17.28847
1714017440,17.98505,52.23774,16.23C,993.39hPa,45.41%,19.1751,17.28847
1714017450,17.96902,52.23774,16.23C,993.31hPa,45.41%,19.01396,17.28847
1714017460,17.96902,52.28046,16.24C,993.37hPa,45.41%,19.09453,17.28847
1714017470,17.95567,52.28046,16.23C,993.38hPa,45.33%,19.01396,17.28847
1714017480,17.95567,52.25757,16.23C,993.39hPa,45.44%,19.09453,17.28847
1714017490,17.98505,52.27131,16.23C,993.41hPa,45.44%,19.09453,17.28847
1714017500,17.96902,52.24842,16.23C,993.31hPa,45.43%,19.01396,17.31289
1714017510,17.98505,52.23774,16.23C,993.36hPa,45.36%,18.9334,17.28847
1714017520,17.98505,52.22858,16.23C,993.33hPa,45.43%,19.09453,17.28847
1714017530,17.96902,52.19349,16.24C,993.42hPa,45.48%,19.01396,17.31289
1714017540,17.96902,52.24842,16.23C,993.38hPa,45.48%,19.01396,17.31289
1714017550,17.9984,52.21943,16.23C,993.36hPa,45.45%,19.09453,17.31289
1714017560,17.96902,52.23774,16.23C,993.35hPa,45.43%,19.01396,17.31289
1714017570,17.98505,52.25147,16.23C,993.30hPa,45.42%,19.09453,17.31289
1714017580,17.96902,52.24842,16.24C,993.34hPa,45.45%,19.09453,17.31289
1714017590,17.96902,52.22553,16.24C,993.34hPa,45.43%,18.9334,17.3373
1714017600,17.96902,52.24842,16.23C,993.31hPa,45.41%,19.01396,17.3373
1714017610,17.96902,52.22553,16.23C,993.33hPa,45.42%,19.09453,17.3373
1714017620,17.96902,52.21485,16.23C,993.31hPa,45.43%,19.01396,17.3373
1714017630,17.96902,52.21485,16.24C,993.29hPa,45.39%,19.01396,17.3373
1714017640,17.95567,52.21485,16.23C,993.27hPa,45.41%,19.09453,17.3373
1714017650,17.96902,52.21485,16.23C,993.33hPa,45.48%,19.01396,17.36172
1714017660,17.98505,52.21637,16.23C,993.28hPa,45.48%,19.01396,17.38613
1714017670,17.96902,52.21485,16.23C,993.23hPa,45.42%,19.09453,17.38613
1714017680,17.98505,52.25147,16.23C,993.22hPa,45.43%,19.09453,17.38613
1714017690,17.98505,52.21637,16.23C,993.29hPa,45.44%,19.09453,17.38613
1714017700,17.96902,52.19349,16.23C,993.28hPa,45.45%,19.1751,17.38613
1714017710,17.95567,52.1828,16.23C,993.23hPa,45.42%,19.1751,17.38613
1714017720,17.96902,52.19349,16.24C,993.29hPa,45.44%,19.1751,17.38613
1714017730,17.96902,52.24842,16.24C,993.23hPa,45.44%,19.01396,17.38613
1714017740,17.95567,52.22553,16.24C,993.29hPa,45.44%,19.09453,17.41054
1714017750,17.98505,52.19654,16.24C,993.23hPa,45.42%,19.09453,17.41054
1714017760,17.95567,52.1706,16.24C,993.21hPa,45.44%,18.9334,17.43496
1714017770,17.98505,52.19654,16.23C,993.23hPa,45.47%,19.1751,17.43496
1714017780,17.96902,52.18433,16.23C,993.19hPa,45.45%,18.9334,17.45937
1714017790,17.98505,52.20722,16.24C,993.21hPa,45.48%,19.09453,17.45937
1714017800,17.96902,52.16144,16.23C,993.14hPa,45.39%,19.01396,17.45937
1714017810,17.9984,52.21943,16.23C,993.22hPa,45.43%,19.01396,17.45937
1714017820,17.95567,52.1706,16.23C,993.25hPa,45.42%,19.01396,17.48379
1714017830,17.96902,52.20569,16.23C,993.25hPa,45.44%,19.09453,17.5082
1714017840,17.95567,52.22553,16.24C,993.18hPa,45.37%,19.01396,17.5082
1714017850,17.96902,52.21485,16.23C,993.18hPa,45.38%,19.1751,17.53262
1714017860,17.96902,52.26978,16.24C,993.18hPa,45.42%,19.01396,17.58145
1714017870,17.9984,52.25147,16.23C,993.17hPa,45.42%,19.01396,17.60586
1714017880,17.9984,52.23926,16.24C,993.23hPa,45.45%,19.01396,17.63027
1714017890,17.96902,52.24842,16.23C,993.28hPa,45.45%,19.09453,17.6791
1714017900,17.96902,52.26978,16.24C,993.23hPa,45.41%,19.09453,17.70352
1714017910,17.96902,52.26978,16.23C,993.17hPa,45.43%,19.09453,17.77676
1714017920,17.98505,52.26215,16.24C,993.23hPa,45.41%,19.01396,17.80117
1714017930,17.98505,52.23774,16.23C,993.23hPa,45.41%,19.09453,17.82559
1714017940,17.98505,52.28351,16.23C,993.13hPa,45.43%,19.09453,17.89883
1714017950,17.95567,52.26673,16.24C,993.15hPa,45.45%,18.9334,17.92325
1714017960,17.94232,52.27893,16.24C,993.19hPa,45.43%,19.01396,18.02091
1714017970,17.95567,52.30182,16.24C,993.26hPa,45.39%,19.09453,18.09415
1714017980,17.94232,52.28809,16.23C,993.25hPa,45.38%,19.01396,18.16739
1714017990,17.96902,52.32471,16.23C,993.22hPa,45.49%,19.1751,18.21622
1714018000,17.95567,52.33387,16.24C,993.23hPa,45.50%,19.01396,18.26505
1714018010,17.98505,52.30335,16.24C,993.18hPa,45.50%,19.01396,18.31388
1714018020,17.96902,52.30335,16.23C,993.19hPa,45.54%,19.09453,18.41154
1714018030,17.95567,52.28962,16.23C,993.17hPa,45.43%,19.01396,18.48478
1714018040,17.98505,52.29267,16.24C,993.32hPa,45.45%,19.09453,18.58244
1714018050,17.98505,52.26215,16.23C,993.25hPa,45.48%,19.01396,18.63127
1714018060,17.96902,52.3125,16.23C,993.33hPa,45.49%,19.01396,18.70451
1714018070,17.96902,52.30335,16.23C,993.22hPa,45.48%,19.01396,18.77928
1714018080,17.9984,52.29419,16.23C,993.22hPa,45.44%,19.09453,18.85252
1714018090,17.96902,52.26978,16.23C,993.22hPa,45.43%,19.01396,18.87694
1714018100,17.98505,52.29267,16.23C,993.23hPa,45.45%,19.01396,18.90135
1714018110,17.94232,52.30793,16.23C,993.15hPa,45.49%,19.09453,18.90135
1714018120,17.95567,52.30182,16.23C,993.22hPa,45.45%,19.09453,18.92577
1714018130,17.95567,52.30182,16.24C,993.18hPa,45.41%,19.01396,18.90135
1714018140,17.96902,52.30335,16.23C,993.19hPa,45.47%,19.01396,18.87694
1714018150,17.95567,52.30182,16.23C,993.20hPa,45.48%,19.01396,18.82811
1714018160,17.95567,52.30182,16.23C,993.17hPa,45.50%,19.09453,18.80369
1714018170,17.96902,52.32471,16.23C,993.28hPa,45.38%,19.01396,18.72892
1714018180,17.96902,52.29267,16.23C,993.25hPa,45.47%,19.01396,18.68009
1714018190,17.96902,52.29267,16.23C,993.25hPa,45.47%,19.09453,18.65568
1714018200,17.94232,52.33387,16.23C,993.25hPa,45.45%,19.01396,18.63127
1714018210,17.96902,52.3125,16.24C,993.23hPa,45.43%,19.01396,18.63127
1714018220,17.95567,52.30182,16.23C,993.25hPa,45.45%,19.09453,18.60685
1714018230,17.95567,52.32166,16.23C,993.25hPa,45.45%,19.09453,18.58244
1714018240,17.94232,52.33387,16.23C,993.27hPa,45.39%,19.09453,18.60685
1714018250,17.95567,52.28046,16.23C,993.25hPa,45.41%,19.1751,18.60685
1714018260,17.96902,52.30335,16.24C,993.26hPa,45.43%,19.09453,18.63127
1714018270,17.95567,52.28962,16.23C,993.22hPa,45.45%,19.1751,18.60685
1714018280,17.96902,52.26978,16.23C,993.22hPa,45.40%,18.9334,18.63127
1714018290,17.95567,52.28962,16.23C,993.23hPa,45.42%,19.01396,18.65568
1714018300,17.95567,52.28962,16.23C,993.23hPa,45.42%,19.09453,18.68009
1714018310,17.95567,52.25757,16.24C,993.32hPa,45.43%,19.09453,18.68009
1714018320,17.96902,52.26978,16.23C,993.23hPa,45.39%,19.01396,18.72892
1714018330,17.94232,52.28809,16.24C,993.23hPa,45.44%,18.9334,18.75486
1714018340,17.94232,52.26673,16.24C,993.26hPa,45.43%,19.01396,18.77928
1714018350,17.95567,52.28046,16.23C,993.19hPa,45.39%,19.09453,18.80369
1714018360,17.95567,52.28046,16.23C,993.25hPa,45.41%,19.01396,18.85252
1714018370,17.96902,52.29267,16.23C,993.22hPa,45.43%,19.09453,18.87694
1714018380,17.95567,52.26673,16.23C,993.20hPa,45.41%,18.9334,18.95018
1714018390,17.95567,52.26673,16.23C,993.22hPa,45.41%,19.09453,18.97459
1714018400,17.94232,52.26673,16.23C,993.27hPa,45.42%,19.01396,18.99901
1714018410,17.95567,52.28962,16.23C,993.25hPa,45.40%,19.09453,19.04784
1714018420,17.95567,52.24689,16.23C,993.22hPa,45.38%,19.01396,19.09667
1714018430,17.94232,52.27893,16.23C,993.19hPa,45.37%,19.01396,19.19432
1714018440,17.92897,52.24384,16.23C,993.25hPa,45.36%,19.09453,19.21874
1714018450,17.95567,52.24689,16.23C,993.22hPa,45.39%,19.01396,19.29198
1714018460,17.95567,52.24689,16.23C,993.17hPa,45.42%,19.09453,19.36522
1714018470,17.96902,52.20569,16.23C,993.22hPa,45.43%,19.01396,19.41405
1714018480,17.95567,52.23468,16.23C,993.24hPa,45.40%,19.01396,19.53613
1714018490,17.95567,52.21485,16.23C,993.19hPa,45.41%,19.01396,19.60937
1714018500,17.92897,52.2652,16.23C,993.22hPa,45.43%,19.01396,19.6582
1714018510,17.92897,52.24384,16.23C,993.22hPa,45.42%,19.09453,19.78027
1714018520,17.95567,52.23468,16.22C,993.28hPa,45.41%,19.01396,19.85351
1714018530,17.94232,52.24384,16.23C,993.18hPa,45.38%,19.01396,19.97559
1714018540,17.95567,52.22553,16.23C,993.22hPa,45.36%,19.01396,20.07324
1714018550,17.95567,52.24689,16.23C,993.19hPa,45.39%,19.09453,20.19532
1714018560,17.96902,52.21485,16.23C,993.26hPa,45.39%,18.9334,20.3418
1714018570,17.95567,52.22553,16.23C,993.19hPa,45.42%,18.9334,20.41504
1714018580,17.96902,52.24842,16.23C,993.19hPa,45.43%,19.09453,20.58595
1714018590,17.95567,52.20264,16.23C,993.24hPa,45.44%,19.01396,20.70802
1714018600,17.95567,52.22553,16.23C,993.17hPa,45.45%,19.01396,20.85451
1714018610,17.94232,52.24384,16.23C,993.25hPa,45.43%,19.01396,20.97658
1714018620,17.96902,52.26062,16.23C,993.13hPa,45.39%,19.01396,21.12306
1714018630,17.96902,52.23774,16.22C,993.14hPa,45.39%,19.01396,21.24514
1714018640,17.95567,52.28046,16.23C,993.21hPa,45.39%,19.09453,21.41604
1714018650,17.95567,52.25757,16.23C,993.16hPa,45.44%,19.01396,21.58694
1714018660,17.95567,52.23468,16.23C,993.17hPa,45.44%,19.09453,21.73343
1714018670,17.95567,52.24689,16.23C,993.22hPa,45.44%,19.09453,21.90433
1714018680,17.95567,52.25757,16.23C,993.16hPa,45.45%,18.9334,22.07523
1714018690,17.95567,52.26673,16.23C,993.17hPa,45.44%,19.09453,22.22171
1714018700,17.94232,52.26673,16.23C,993.18hPa,45.42%,18.9334,22.39261
1714018710,17.94232,52.25605,16.22C,993.15hPa,45.44%,19.09453,22.5391
1714018720,17.95567,52.26673,16.23C,993.10hPa,45.46%,19.09453,22.68559
1714018730,17.92897,52.25605,16.22C,993.15hPa,45.42%,19.09453,22.85649
1714018740,17.94232,52.27893,16.22C,993.18hPa,45.33%,19.09453,22.97856
1714018750,17.92897,52.27588,16.23C,993.21hPa,45.40%,19.09453,23.14946
1714018760,17.95567,52.28046,16.22C,993.12hPa,45.41%,19.09453,23.29595
1714018770,17.96902,52.28046,16.22C,993.17hPa,45.43%,19.01396,23.46685
1714018780,17.94232,52.20264,16.22C,993.15hPa,45.29%,19.01396,23.56451
1714018790,17.92897,52.21027,16.21C,993.13hPa,45.31%,19.09453,23.73541
1714018800,17.92897,52.21027,16.22C,993.14hPa,45.43%,18.9334,23.85748
1714018810,17.94232,52.19196,16.22C,993.15hPa,45.44%,19.01396,24.02838
1714018820,17.95567,52.19196,16.22C,993.15hPa,45.42%,19.01396,24.12604
1714018830,17.95567,52.19196,16.22C,993.14hPa,45.43%,19.09453,24.29694
1714018840,17.94232,52.17975,16.23C,993.17hPa,45.35%,19.09453,24.44343
1714018850,17.92897,52.20111,16.22C,993.15hPa,45.27%,19.01396,24.58991
1714018860,17.95567,52.22553,16.21C,993.13hPa,45.39%,19.01396,24.76081
1714018870,17.94232,52.224,16.22C,993.07hPa,45.40%,19.01396,24.93172
1714018880,17.94232,52.16907,16.21C,993.16hPa,45.37%,19.01396,25.10415
1714018890,17.95567,52.20264,16.23C,993.05hPa,45.40%,19.01396,25.29946
1714018900,17.92897,52.20111,16.22C,993.14hPa,45.31%,19.01396,25.49478
1714018910,17.94232,52.16907,16.21C,993.15hPa,45.32%,19.09453,25.7145
1714018920,17.94232,52.19196,16.21C,993.11hPa,45.33%,19.1751,25.93423
1714018930,17.94232,52.17975,16.22C,993.14hPa,45.36%,19.09453,26.17838
1714018940,17.92897,52.20111,16.21C,993.10hPa,45.40%,19.01396,26.39811
1714018950,17.94232,52.224,16.21C,993.13hPa,45.38%,18.9334,26.59342
1714018960,17.95567,52.20264,16.21C,993.13hPa,45.43%,19.09453,26.81315
1714018970,17.94232,52.224,16.22C,993.09hPa,45.44%,19.01396,27.0573
1714018980,17.94232,52.17975,16.21C,993.11hPa,45.42%,19.09453,27.30144
1714018990,17.95567,52.21485,16.22C,993.09hPa,45.45%,19.01396,27.54559
1714019000,17.92897,52.18891,16.22C,993.15hPa,45.43%,19.01396,27.78973
1714019010,17.92897,52.17975,16.21C,993.07hPa,45.47%,19.09453,28.05829
1714019020,17.94232,52.19196,16.21C,993.15hPa,45.46%,19.09453,28.32685
1714019030,17.94232,52.17975,16.21C,993.10hPa,45.39%,19.09453,28.57099
1714019040,17.95567,52.19196,16.21C,993.08hPa,45.40%,19.01396,28.81514
1714019050,17.94232,52.16907,16.21C,993.11hPa,45.41%,19.01396,29.05928
1714019060,17.92897,52.21027,16.21C,993.15hPa,45.41%,19.01396,29.32784
1714019070,17.94232,52.20264,16.2C,993.15hPa,45.38%,19.01396,29.5964
1714019080,17.94232,52.2118,16.21C,993.18hPa,45.38%,19.01396,29.84054
1714019090,17.92897,52.23316,16.21C,993.13hPa,45.44%,19.01396,30.1091
1714019100,17.92897,52.18891,16.2C,993.12hPa,45.40%,19.01396,30.35324
1714019110,17.95567,52.20264,16.21C,993.08hPa,45.42%,19.09453,30.59739
1714019120,17.94232,52.224,16.21C,993.10hPa,45.41%,19.01396,30.81712
1714019130,17.94232,52.16907,16.21C,993.11hPa,45.29%,18.9334,31.08568
1714019140,17.92897,52.17975,16.21C,993.10hPa,45.35%,19.09453,31.35577
1714019150,17.94232,52.19196,16.21C,993.08hPa,45.41%,19.09453,31.57549
1714019160,17.94232,52.19196,16.21C,993.07hPa,45.38%,19.01396,31.86847
1714019170,17.94232,52.224,16.2C,993.01hPa,45.38%,19.01396,32.13703
1714019180,17.94232,52.20264,16.21C,993.05hPa,45.39%,18.9334,32.40559
1714019190,17.92897,52.17975,16.2C,993.06hPa,45.35%,19.01396,32.69855
1714019200,17.94232,52.16907,16.21C,993.08hPa,45.37%,19.01396,32.9427
1714019210,17.95567,52.19196,16.2C,993.12hPa,45.38%,19.01396,33.21126
1714019220,17.94232,52.16907,16.21C,993.07hPa,45.43%,19.01396,33.50423
1714019230,17.95567,52.16144,16.2C,993.11hPa,45.31%,19.09453,33.74838
